ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Traces_of_processing,Phase,inside,outside
2198,TYc172,172,仏生寺城跡（2000）,Toyama,SD17,TJ,17.7,3.6,,TRUE,,BS_L15C,,
2199,TYc178,178,仏生寺城跡（2000）,Toyama,SD17,TI,9.3,1.9,,TRUE,,BS_L15C,,
2200,TYc179,179,仏生寺城跡（2000）,Toyama,SD17,TI,9.6,1.8,,TRUE,,BS_L15C,,
2201,TYc182,182,仏生寺城跡（2000）,Toyama,SD17,TI,9,2,,TRUE,,BS_L15C,,
2202,TYc184,184,仏生寺城跡（2000）,Toyama,SD17,TI,9.6,2.1,,TRUE,,BS_L15C,,
2203,TYc185,185,仏生寺城跡（2000）,Toyama,SD17,TI,9,1.7,,TRUE,,BS_L15C,,
2204,TYc187,187,仏生寺城跡（2000）,Toyama,SD17,TI,9.3,2,,TRUE,,BS_L15C,,
2205,TYc188,188,仏生寺城跡（2000）,Toyama,SD17,TI,9,2,,TRUE,,BS_L15C,,
2206,TYc197,197,仏生寺城跡（2000）,Toyama,SD17,RF,9,1.8,,TRUE,,BS_L15C,,
2207,TYd001,1,仏生寺城跡（2005）,Toyama,1T中央土坑,TI,8.5,1.57,,TRUE,,BS_L15C,,
2208,TYd002,2,仏生寺城跡（2005）,Toyama,1T中央土坑,TI,8.4,1.6,,TRUE,,BS_L15C,,
2209,TYd003,3,仏生寺城跡（2005）,Toyama,1T中央土坑,TI,8.2,1.68,,TRUE,,BS_L15C,,
2210,TYd006,6,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,8.2,1.4,,TRUE,,BS_L15C,,
2211,TYd007,7,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,8.2,1.7,,TRUE,,BS_L15C,,
2212,TYd008,8,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,9.3,1.85,,TRUE,,BS_L15C,,
2213,TYd009,9,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,9.8,1.7,,TRUE,,BS_L15C,,
2213,TYd009,9,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,9.8,1.7,,TRUE,,KD_新期,,
2214,TYd010,10,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,9.7,1.7,,TRUE,,BS_L15C,,
2215,TYd011,11,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,9.6,1.8,,TRUE,,BS_L15C,,
2215,TYd011,11,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,9.6,1.8,,TRUE,,KD_新期,,
2216,TYd012,12,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,11.8,2.1,,TRUE,,BS_L15C,,
2217,TYd013,13,仏生寺城跡（2005）,Toyama,1T中央土坑,TJ,8.4,1.75,,TRUE,,BS_L15C,,
2218,TYd015,15,仏生寺城跡（2005）,Toyama,1T中央土坑,RH,15.9,2.6,,TRUE,,BS_L15C,,
2219,TYe032,32,新庄城跡,Toyama,1SK293,TJ,7.9,1.4,,TRUE,,,,
2220,TYe049,49,新庄城跡,Toyama,1SK256,TI,9.2,1.7,,TRUE,,,,
2221,TYe050,50,新庄城跡,Toyama,1SK256,TI,8.5,1.9,,TRUE,,,,
2222,TYe051,51,新庄城跡,Toyama,1SD04,TJ,10.6,2,,TRUE,,SJ_2期,,
2223,TYe059,59,新庄城跡,Toyama,1SK117,RH,13.5,2.2,,TRUE,,,,
2224,TYe060,60,新庄城跡,Toyama,2層,RH,16.5,3,,TRUE,,,,
2224,TYe060,60,新庄城跡,Toyama,2層,RH,16.5,3,,TRUE,,KD_新期,,
2225,TYe061,61,新庄城跡,Toyama,1SD04,RH,14.9,2.7,,TRUE,,SJ_2期,,
2226,TYe063,63,新庄城跡,Toyama,1SK28,RH,15.7,2.6,,TRUE,,,,
2227,TYe064,64,新庄城跡,Toyama,1SD04,TJ-b,15.1,2.1,,TRUE,,SJ_2期,,
2228,TYe067,67,新庄城跡,Toyama,1SA01,TI,15.3,2.4,,TRUE,,SJ_1期,,
2229,TYe068,68,新庄城跡,Toyama,1SD05,TJ-b,12.5,2.3,,TRUE,,SJ_1期,,
2229,TYe068,68,新庄城跡,Toyama,1SD05,TJ-b,12.5,2.3,,TRUE,,KD_新期,,
2230,TYe070,70,新庄城跡,Toyama,1SD05,TJ,15.7,2.7,,TRUE,,BS_L15C,,
2230,TYe070,70,新庄城跡,Toyama,1SD05,TJ,15.7,2.7,,TRUE,,SJ_1期,,
2231,TYe071,71,新庄城跡,Toyama,1SD04,TJ-b,13.9,2.8,,TRUE,,BS_L15C,,
2231,TYe071,71,新庄城跡,Toyama,1SD04,TJ-b,13.9,2.8,,TRUE,,SJ_2期,,
2231,TYe071,71,新庄城跡,Toyama,1SD04,TJ-b,13.9,2.8,,TRUE,,KD_新期,,
2232,TYe072,72,新庄城跡,Toyama,1SD04,TJ-b,15.1,3.1,,TRUE,,BS_L15C,,
2232,TYe072,72,新庄城跡,Toyama,1SD04,TJ-b,15.1,3.1,,TRUE,,SJ_2期,,
2232,TYe072,72,新庄城跡,Toyama,1SD04,TJ-b,15.1,3.1,,TRUE,,KD_新期,,
2233,TYe073,73,新庄城跡,Toyama,1SD04,TJ,16.1,3,,TRUE,,SJ_2期,,
2234,TYe074,74,新庄城跡,Toyama,1SA01,TJ-b,13.1,2.3,,TRUE,,BS_L15C,,
2234,TYe074,74,新庄城跡,Toyama,1SA01,TJ-b,13.1,2.3,,TRUE,,SJ_1期,,
2235,TYe075,75,新庄城跡,Toyama,1SD05,NA,14.2,2.2,,TRUE,,BS_L15C,,
2235,TYe075,75,新庄城跡,Toyama,1SD05,NA,14.2,2.2,,TRUE,,SJ_1期,,
2236,TYe076,76,新庄城跡,Toyama,1SD04,TJ-b,14.9,2.5,,TRUE,,SJ_2期,,
2237,TYe077,77,新庄城跡,Toyama,1SE101,TJ,12.5,2.1,,TRUE,,,,
2238,TYe078,78,新庄城跡,Toyama,1SA01,TJ,13.9,2.3,,TRUE,,BS_L15C,,
2238,TYe078,78,新庄城跡,Toyama,1SA01,TJ,13.9,2.3,,TRUE,,SJ_1期,,
2239,TYe083,83,新庄城跡,Toyama,1SD05,NA,14.5,3.5,,TRUE,,BS_L15C,,
2239,TYe083,83,新庄城跡,Toyama,1SD05,NA,14.5,3.5,,TRUE,,SJ_1期,,
2240,TYe086,86,新庄城跡,Toyama,1SD05,TJ-b,12.9,2.7,,TRUE,,BS_L15C,,
2240,TYe086,86,新庄城跡,Toyama,1SD05,TJ-b,12.9,2.7,,TRUE,,SJ_1期,,
2241,TYe089,89,新庄城跡,Toyama,1SD200/2SD02,TJ-b,14.7,2.6,,TRUE,,SJ_4期,,
2242,TYe142,142,新庄城跡,Toyama,1SD200/2SD02,TI,8.2,1.8,,TRUE,,SJ_4期,,
2243,TYe143,143,新庄城跡,Toyama,1SD200/2SD02,TI,10.7,1.7,,TRUE,,SJ_4期,,
2244,TYe152,152,新庄城跡,Toyama,1SK148/2SK37,TJ,9,1.9,,TRUE,,SJ_4期,,
2245,TYf005,5,小出城跡,Toyama,新期SD01,TI,9,1.9,,TRUE,,KD_新期,,
2246,TYf009,9,小出城跡,Toyama,新期SD01,TI,8.7,2.2,,TRUE,,BS_L15C,,
2246,TYf009,9,小出城跡,Toyama,新期SD01,TI,8.7,2.2,,TRUE,,KD_新期,,
2247,TYf011,11,小出城跡,Toyama,新期SD01,TI,7.8,1.5,,TRUE,,BS_L15C,,
2247,TYf011,11,小出城跡,Toyama,新期SD01,TI,7.8,1.5,,TRUE,,KD_新期,,
2248,TYf014,14,小出城跡,Toyama,新期SD01,TJ,10.9,2.4,,TRUE,,KD_新期,,
2249,TYf019,19,小出城跡,Toyama,新期SD01,TI,15.5,2.3,,TRUE,,KD_新期,,
2250,TYf022,22,小出城跡,Toyama,新期SD01,TI,13.9,2.5,,TRUE,,KD_新期,,
2251,TYf060,60,小出城跡,Toyama,新期SD01,RH,11.4,1.8,,TRUE,,,,
2251,TYf060,60,小出城跡,Toyama,新期SD01,RH,11.4,1.8,,TRUE,,KD_新期,,
2252,TYf068,68,小出城跡,Toyama,新期SD01,TI,8,1.6,,TRUE,,SJ_1期,,
2252,TYf068,68,小出城跡,Toyama,新期SD01,TI,8,1.6,,TRUE,,KD_新期,,
2253,TYf071,71,小出城跡,Toyama,新期SD01,RF,8.9,1.6,,TRUE,,BS_L15C,,
2253,TYf071,71,小出城跡,Toyama,新期SD01,RF,8.9,1.6,,TRUE,,SJ_2期,,
2253,TYf071,71,小出城跡,Toyama,新期SD01,RF,8.9,1.6,,TRUE,,KD_新期,,
2254,TYf072,72,小出城跡,Toyama,新期SD01,RH,13.7,2.1,,TRUE,,BS_L15C,,
2254,TYf072,72,小出城跡,Toyama,新期SD01,RH,13.7,2.1,,TRUE,,SJ_2期,,
2254,TYf072,72,小出城跡,Toyama,新期SD01,RH,13.7,2.1,,TRUE,,KD_新期,,
2255,TYf081,81,小出城跡,Toyama,古期SD01,TI,8.5,1.8,,TRUE,,KD_古期,,
2256,TYg284,284,井口城跡,Toyama,SK15,RF,7.6,1.6,富山県埋蔵文化財センター1990,TRUE,,IN_L15C,,
2257,TYg286,286,井口城跡,Toyama,SK15,RF,7.6,2,富山県埋蔵文化財センター1990,TRUE,,IN_L15C,,
2258,TYg288,288,井口城跡,Toyama,SK15,RF,7.7,2,富山県埋蔵文化財センター1990,TRUE,,IN_L15C,,
2259,TYg289,289,井口城跡,Toyama,SK15,RF,7.7,2.2,富山県埋蔵文化財センター1990,TRUE,,IN_L15C,,
2260,TYg290,290,井口城跡,Toyama,SK15,RF,7.9,2.1,富山県埋蔵文化財センター1990,TRUE,,IN_L15C,,
2261,TYg291,291,井口城跡,Toyama,SK15,RF,7.7,1.8,富山県埋蔵文化財センター1990,TRUE,,IN_L15C,,
2262,TYg292,292,井口城跡,Toyama,SK15,RF,8.3,1.9,富山県埋蔵文化財センター1990,TRUE,,IN_L15C,,
2263,TYg293,293,井口城跡,Toyama,SK15,RF,10.8,2.4,富山県埋蔵文化財センター1990,TRUE,,IN_L15C,,
2264,TYg294,294,井口城跡,Toyama,SK15,RF,10.8,2.5,富山県埋蔵文化財センター1990,TRUE,,IN_L15C,,
2265,TYg296,296,井口城跡,Toyama,SK15,RH,13.6,2.8,富山県埋蔵文化財センター1990,TRUE,,IN_L15C,,
